Product ID;Obraz;Nazwa;Indeks;Kategoria;Cena (netto);Cena (brutto);Ilość;Wyświetlany;Pozycja
5284;https://dobrewina.pl/1915/p5284-chateau-de-camensac-haut-medoc-2018.jpg;Chateau de Camensac Haut-Medoc 2018;CME0017;Wino czerwone;194.308943;269;0;1;81
5285;https://dobrewina.pl/1916/p5285-chateau-fombrauge-saint-emilion-grand-cru-2018.jpg;Chateau Fombrauge Saint Emilion Grand Cru 2018;CSE0008;Wino czerwone;178.048780;269;0;1;82
5287;https://dobrewina.pl/1921/chateau-leoville-poyferre-saint-julien-2014.jpg;Chateau Leoville Poyferre Saint-Julien 2014;CME0003;Wino czerwone;454.471545;599;0;1;83
5289;https://dobrewina.pl/1924/p5289-chateau-rauzan-gassies-margaux-2017.jpg;Chateau Rauzan-Gassies Margaux 2017;CME0004;Wino czerwone;332.520325;449;0;1;84
5291;https://dobrewina.pl/1926/p5291-chateau-troplong-mondot-saint-emilion-1er-grand-cru-2014.jpg;Chateau Troplong Mondot Saint-Emilion 1er Grand Cru 2014;CSE0004;Wino czerwone;486.991870;669;0;1;85
5292;https://dobrewina.pl/1927/p5292-chateau-troplong-mondot-saint-emilion-1er-grand-cru-2018.jpg;Chateau Troplong Mondot Saint-Emilion 1er Grand Cru 2018;CSE0005;Wino czerwone;600.813008;799;0;1;86
5296;https://dobrewina.pl/1938/p5296-lavantureux-chablis-aop-2019.jpg;Lavantureux Chablis AOP 2019;CCH0006;Wino białe;104.878049;129;0;1;88
5300;https://dobrewina.pl/1946/suremain-mercurey-clos-l-eveque-1er-cru-2019.jpg;Suremain Mercurey Clos l'Eveque 1er Cru 2019;CCA0003;Wino czerwone;145.528455;179;0;1;90
5301;https://dobrewina.pl/1947/p5301-suremain-mercurey-les-crets-1er-cru-2019.jpg;Suremain Mercurey Les Crets 1er Cru 2019;CCA0002;Wino czerwone;145.528455;179;0;1;91
5304;https://dobrewina.pl/1955/barolo-ravera-cantina-terre-del-barolo-2011.jpg;Barolo Ravera Cantina Terre del Barolo 2011;OII0001;Wino czerwone;104.878049;159;0;1;0
